geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os07g11870	7	1	1861	1991	0.268059391	0.037570242	70.56693384	77.20206981	8.903353182	5.221465968	1.10E-84	2.26E-80		
LOC_Os07g11790	9	0	2302	2391	0.344647788	0	87.28913578	92.71227971	9.021145603	5.505258005	2.57E-84	2.63E-80		
LOC_Os08g37210	0	0	523	641	0	0	19.83154562	24.85511137	12.20802533	3.499854155	4.46E-55	3.04E-51		
LOC_Os07g03580	0	1	375	369	0	0.037570242	14.21955948	14.30816864	9.253324214	2.857756144	3.63E-42	1.85E-38		
LOC_Os02g51440	1	3	350	673	0.038294199	0.112710727	13.27158885	26.09592817	7.96038107	3.326113063	3.15E-36	1.28E-32		
LOC_Os11g42370	1	2	252	317	0.038294199	0.075140485	9.555543969	12.29184135	7.493993604	2.483734217	2.16E-32	7.35E-29		
LOC_Os12g15530	96	73	1154	914	3.676243076	2.742627685	43.75832437	35.44082963	3.642765258	4.429726568	7.44E-28	2.17E-24		
LOC_Os09g38350	0	1	188	182	0	0.037570242	7.128739152	7.057145507	8.246032795	1.86541543	2.86E-27	7.30E-24		
LOC_Os11g42290	0	2	188	184	0	0.075140485	7.128739152	7.134696557	7.408644996	1.876800446	3.56E-26	8.06E-23		
LOC_Os01g28450	148	225	2445	1577	5.667541408	8.453304509	92.7115278	61.14900255	3.467313103	5.397844459	5.53E-25	1.13E-21		
LOC_Os07g39860	9	19	331	330	0.344647788	0.713834603	12.55113117	12.79592317	4.592204885	2.74461441	3.72E-24	6.91E-21		
LOC_Os04g58090	65	59	757	558	2.489122916	2.216644294	28.70455073	21.63674282	3.436807653	3.79435947	1.70E-23	2.88E-20		
LOC_Os02g36210	113	80	1146	774	4.327244454	3.005619381	43.45497376	30.01225617	3.340922834	4.345287419	6.74E-22	1.06E-18		
LOC_Os11g37950	580	485	5254	3488	22.21063525	18.2215675	199.225508	135.2490304	3.066227666	6.554914639	6.19E-21	9.03E-18		
LOC_Os08g39730	192	255	1419	1564	7.352486151	9.580411777	53.80681306	60.64492073	2.781374795	5.046324459	1.17E-20	1.60E-17		
LOC_Os04g10060	2	7	155	183	0.076588397	0.262991696	5.877417918	7.095921032	5.237467456	1.77221593	4.86E-19	6.21E-16		
LOC_Os02g36020	3	20	273	323	0.114882596	0.751404845	10.3518393	12.5244945	4.732984164	2.593701341	7.70E-18	9.24E-15		
LOC_Os06g37300	144	365	2397	2720	5.514364613	13.71313843	90.89142418	105.4694274	3.381928983	5.760364145	1.99E-17	2.26E-14		
LOC_Os12g13800	4	9	170	142	0.153176795	0.33813218	6.446200297	5.506124517	4.598296129	1.675208759	6.72E-17	7.23E-14		
LOC_Os01g06740	93	92	538	652	3.56136048	3.456462288	20.400328	25.28164215	2.724674719	3.733604281	1.35E-16	1.38E-13		
LOC_Os08g42700	2019	2066	111	279	77.31598718	77.62012052	4.208989606	10.81837141	-3.337361748	5.4000546	2.22E-16	2.16E-13		
LOC_Os07g03467	0	0	57	81	0	0	2.161373041	3.140817506	9.135482204	0.48919701	3.01E-16	2.79E-13		
LOC_Os05g08830	2	7	116	185	0.076588397	0.262991696	4.398583732	7.173472081	5.075043624	1.61630846	5.00E-16	4.44E-13		
LOC_Os02g36030	0	6	140	106	0	0.225421454	5.308635538	4.110205625	5.340872251	1.316670266	5.57E-16	4.74E-13		
LOC_Os07g03710	102	236	2476	1224	3.906008268	8.866577174	93.88701138	47.46124231	3.490980977	5.272025814	7.53E-16	6.15E-13		
LOC_Os07g03319	2	1	86	72	0.076588397	0.037570242	3.261018974	2.791837783	5.639307645	0.695581506	5.98E-15	4.65E-12		
LOC_Os06g13940	13	20	204	194	0.497824583	0.751404845	7.735440356	7.522451804	3.623340498	2.074971782	6.15E-15	4.65E-12		
LOC_Os02g01590	487	682	2735	3314	18.64927477	25.62290522	103.7079871	128.5020891	2.417321049	6.117843762	8.88E-15	6.48E-12		
LOC_Os07g07930	366	616	2617	2503	14.01567673	23.14326923	99.23356574	97.05513849	2.427249741	5.872421137	1.09E-14	7.69E-12		
LOC_Os04g09900	101	203	930	953	3.867714069	7.62675918	35.26450751	36.9530751	2.677839678	4.396684221	3.14E-14	2.14E-11		
LOC_Os08g04540	44	123	662	940	1.684944743	4.621139798	25.10226233	36.44899328	3.316236478	4.097734584	3.52E-14	2.32E-11		
LOC_Os01g09990	3	7	98	118	0.114882596	0.262991696	3.716044877	4.575511922	4.443309568	1.16891306	6.05E-14	3.82E-11		
LOC_Os07g03590	0	6	88	111	0	0.225421454	3.336856624	4.304083249	5.042586217	1.033519513	6.18E-14	3.82E-11		
LOC_Os12g15680	53	203	1364	1542	2.029592531	7.62675918	51.72127767	59.79185919	3.560608854	4.930572573	1.95E-13	1.17E-10		
LOC_Os09g32952	2	2	70	69	0.076588397	0.075140485	2.654317769	2.675511209	5.071421805	0.533842737	2.31E-13	1.35E-10		
LOC_Os08g31860	36	25	232	286	1.378591153	0.939256057	8.797167464	11.08980008	3.118458106	2.497780321	2.76E-13	1.56E-10		
LOC_Os12g30824	64	284	2210	2515	2.450828717	10.6699488	83.80060386	97.52044478	3.821280454	5.612061612	3.20E-13	1.77E-10		
LOC_Os02g36140	14	81	737	714	0.536118782	3.043189623	27.94617423	27.68572468	3.985828286	3.900402726	6.69E-13	3.59E-10		
LOC_Os12g08700	2	0	48	94	0.076588397	0	1.820103613	3.644899328	6.02448689	0.550288834	8.72E-13	4.56E-10		
LOC_Os01g22352	588	736	3529	2435	22.51698884	27.65169831	133.8155344	94.4184028	2.207229604	6.124251077	1.03E-12	5.25E-10		
LOC_Os03g02874	96	69	505	423	3.676243076	2.592346716	19.14900676	16.40204698	2.521463718	3.400010252	1.10E-12	5.50E-10		
LOC_Os09g34160	86	139	526	674	3.293301089	5.222263675	19.94530209	26.13470369	2.461874498	3.783541928	1.60E-12	7.79E-10		
