Transcript_ID	Transcript_ID	Gene_ID	Description	IO_Read_Count	IX_Read_Count	NO_Read_Count	NX_Read_Count	IO_FPKM	IX_FPKM	NO_FPKM	NX_FPKM
Os05g0100008	Os05t0100008-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0100010	Os03t0100010-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0100016	Os05t0100016-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0100020	Os03t0100020-01	.	.	8	0	4	6	7.048235	0.0	2.737487	0.96777
Os03g0100030	Os03t0100030-01	.	.	85	117	43	521	50.426205	29.957254	19.858843	56.623394
Os03g0100040	Os03t0100040-01	.	.	15	46	6	73	11.470976	15.212454	3.597758	10.095228
Os03g0100050	Os03t0100050-01	.	.	24	65	8	72	13.497289	16.134016	3.592438	7.500872
Os02g0100050	Os02t0100050-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0100100	Os11t0100100-01	.	.	5	14	44	129	1.619387	2.446027	13.841932	9.512683
Os12g0100100	Os12t0100100-01,Os12t0100100-02,Os12t0100100-03	.	.	0	12	0	6	0.0	4.51364	0.0	0.83611
Os01g0100100	Os01t0100100-01	.	.	34	51	25	96	11.969001	7.760889	6.745965	6.19051
Os03g0100100	Os03t0100100-01	.	.	2	0	5	5	2.52796	0.0	3.961742	0.924473
Os02g0100100	Os02t0100100-01	.	.	43	47	28	123	21.884106	10.25416	10.910931	11.462133
Os05g0100100	Os05t0100100-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0100150	Os02t0100150-01	.	.	0	2	0	0	0.0	0.686455	0.0	0.0
Os04g0100150	Os04t0100150-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os08g0100150	Os08t0100150-01	.	.	0	0	0	2	0.0	0.0	0.0	0.304873
Os11g0100150	Os11t0100150-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0100151	Os11t0100151-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0100200	Os03t0100200-01	.	.	25	165	41	250	29.662683	84.51355	38.091198	54.072578
Os08g0100200	Os08t0100200-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os10g0100200	Os10t0100200-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0100200	Os11t0100200-00	.	.	0	22	12	59	0.0	9.949848	9.819254	11.210228
Os01g0100200	Os01t0100200-01	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0100200	Os02t0100200-01	.	.	35	79	38	231	11.915917	11.546818	10.138569	14.371545
Os07g0100200	Os07t0100200-01	.	.	142	548	279	735	110.452919	185.564896	170.911026	105.085373
Os12g0100200	Os12t0100200-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0100225	Os03t0100225-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0100250	Os02t0100250-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os07g0100300	Os07t0100300-01,Os07t0100300-02,Os07t0100300-03	.	.	56	163	55	258	31.708113	36.315922	22.078899	24.111265
Os08g0100300	Os08t0100300-01	.	.	0	8	0	7	0.0	2.825073	0.0	0.894546
Os05g0100300	Os05t0100300-01	.	.	0	2	4	1	0.0	4.059237	14.948936	0.8372
Os04g0100300	Os04t0100300-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os11g0100300	Os11t0100300-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os03g0100300	Os03t0100300-01	.	.	0	0	4	0	0.0	0.0	2.027449	0.0
Os01g0100300	Os01t0100300-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os02g0100300	Os02t0100300-01	.	.	54	138	62	363	36.598408	40.659924	32.8386	45.221851
Os10g0100300	Os10t0100300-01	.	.	44	218	2	454	26.93189	57.848774	0.954093	51.028606
Os02g0100333	Os02t0100333-00	.	.	0	0	0	0	0.0	0.0	0.0	0.0
Os05g0100366	Os05t0100366-00	.	.	6	12	6	11	26.132828	22.056425	20.477242	8.649946
Os01g0100400	Os01t0100400-01	.	.	0	20	2	32	0.0	4.189893	0.758063	2.784777
Os03g0100400	Os03t0100400-01	.	.	31	60	26	189	10.120524	8.571312	6.827112	11.566499
Os08g0100400	Os08t0100400-01,Os08t0100400-02	.	.	45	189	61	379	8.685309	36.33633	16.494842	29.731194
