TF.Gene.id	Target.gene.id
LOC_Os01g66490	LOC_Os05g36320
LOC_Os01g66490	LOC_Os08g44680
LOC_Os01g66490	LOC_Os03g19380
LOC_Os01g66490	LOC_Os03g50310
LOC_Os01g66490	LOC_Os07g04230
LOC_Os01g66490	LOC_Os12g08770
LOC_Os01g66490	LOC_Os01g70770
LOC_Os01g66490	LOC_Os01g39960
LOC_Os01g66490	LOC_Os05g09020
LOC_Os01g66490	LOC_Os02g27490
LOC_Os01g66490	LOC_Os01g20910
LOC_Os01g66490	LOC_Os04g33110
LOC_Os01g66490	LOC_Os02g51770
LOC_Os01g66490	LOC_Os04g54630
LOC_Os01g66490	LOC_Os10g37350
LOC_Os01g66490	LOC_Os09g31454
LOC_Os01g66490	LOC_Os05g36310
LOC_Os01g66490	LOC_Os04g50970
LOC_Os01g66490	LOC_Os04g38920
LOC_Os01g66490	LOC_Os01g72800
LOC_Os01g66490	LOC_Os10g31050
LOC_Os01g66490	LOC_Os01g72205
LOC_Os01g66490	LOC_Os07g49010
LOC_Os01g66490	LOC_Os01g07100
LOC_Os01g66490	LOC_Os10g40100
LOC_Os01g66490	LOC_Os05g41030
LOC_Os01g66490	LOC_Os10g16824
LOC_Os01g66490	LOC_Os01g47570
LOC_Os01g66490	LOC_Os03g04110
LOC_Os01g66490	LOC_Os04g54210
LOC_Os01g66490	LOC_Os05g36330
LOC_Os01g66490	LOC_Os03g58240
LOC_Os01g66490	LOC_Os02g49440
LOC_Os01g66490	LOC_Os07g23340
LOC_Os01g66490	LOC_Os02g32780
LOC_Os01g66490	LOC_Os03g30240
LOC_Os01g66490	LOC_Os09g30300
LOC_Os01g66490	LOC_Os07g49020
LOC_Os01g66490	LOC_Os03g06710
LOC_Os01g66490	LOC_Os05g41640
LOC_Os01g66490	LOC_Os05g02990
LOC_Os01g66490	LOC_Os03g11734
LOC_Os01g66590	LOC_Os04g39150
LOC_Os01g66590	LOC_Os08g36230
LOC_Os01g66590	LOC_Os10g33520
LOC_Os01g66590	LOC_Os09g35990
LOC_Os01g66590	LOC_Os03g03880
LOC_Os01g66590	LOC_Os03g52310
LOC_Os01g66590	LOC_Os04g40750
LOC_Os01g66590	LOC_Os04g28000
LOC_Os01g66590	LOC_Os01g53230
LOC_Os01g66590	LOC_Os10g42520
LOC_Os01g66590	LOC_Os08g36610
LOC_Os01g66590	LOC_Os10g21800
LOC_Os01g66590	LOC_Os12g43900
LOC_Os01g66590	LOC_Os02g57360
LOC_Os01g66590	LOC_Os09g32020
LOC_Os01g66590	LOC_Os05g48640
LOC_Os01g66590	LOC_Os02g08160
LOC_Os01g66590	LOC_Os03g60500
LOC_Os01g66590	LOC_Os05g34800
LOC_Os01g67480	LOC_Os01g74320
LOC_Os01g67480	LOC_Os03g19310
LOC_Os01g67480	LOC_Os06g34420
LOC_Os01g67480	LOC_Os01g50370
LOC_Os01g67480	LOC_Os03g53200
LOC_Os01g67480	LOC_Os02g09960
LOC_Os01g67480	LOC_Os06g51360
LOC_Os01g67480	LOC_Os03g28940
LOC_Os01g67480	LOC_Os11g08210
LOC_Os01g67480	LOC_Os02g37080
LOC_Os01g67480	LOC_Os12g07540
LOC_Os01g67480	LOC_Os07g42510
LOC_Os01g67480	LOC_Os05g34680
LOC_Os01g67480	LOC_Os01g67820
LOC_Os01g67480	LOC_Os08g37670
LOC_Os01g67480	LOC_Os02g56850
LOC_Os01g67480	LOC_Os03g56250
LOC_Os01g67480	LOC_Os05g42000
LOC_Os01g67480	LOC_Os04g39880
LOC_Os01g67480	LOC_Os12g32980
LOC_Os01g67480	LOC_Os04g21950
LOC_Os01g67480	LOC_Os01g69200
LOC_Os01g67480	LOC_Os03g13830
LOC_Os01g67480	LOC_Os07g44860
LOC_Os01g67480	LOC_Os08g07620
LOC_Os01g67480	LOC_Os06g43190
LOC_Os01g67480	LOC_Os02g39150
LOC_Os01g67480	LOC_Os03g59360
LOC_Os01g67480	LOC_Os07g39860
LOC_Os01g67480	LOC_Os02g57260
LOC_Os01g67480	LOC_Os07g06830
LOC_Os01g67480	LOC_Os09g26960
LOC_Os01g67480	LOC_Os03g63390
LOC_Os01g67480	LOC_Os08g43180
LOC_Os01g67480	LOC_Os03g45779
LOC_Os01g67480	LOC_Os01g68940
LOC_Os01g67480	LOC_Os03g55320
LOC_Os01g67480	LOC_Os07g36590
LOC_Os01g67480	LOC_Os03g07870
LOC_Os01g67480	LOC_Os01g50400
LOC_Os01g67480	LOC_Os02g37290
LOC_Os01g67480	LOC_Os03g60840
LOC_Os01g67480	LOC_Os04g41229
LOC_Os01g67480	LOC_Os01g65690
LOC_Os01g67480	LOC_Os01g63230
LOC_Os01g67480	LOC_Os04g37880
LOC_Os01g68700	LOC_Os09g39700
LOC_Os01g68700	LOC_Os02g29890
LOC_Os01g68700	LOC_Os03g01850
LOC_Os01g68700	LOC_Os09g25640
LOC_Os01g68700	LOC_Os06g07474
LOC_Os01g68700	LOC_Os09g36000
LOC_Os01g68700	LOC_Os10g35690
LOC_Os01g68700	LOC_Os10g35060
LOC_Os01g69830	LOC_Os09g31454
LOC_Os01g69830	LOC_Os07g36140
LOC_Os01g69830	LOC_Os01g51360
LOC_Os01g69830	LOC_Os01g20930
LOC_Os01g69830	LOC_Os04g11840
LOC_Os01g69830	LOC_Os09g32030
LOC_Os01g69830	LOC_Os06g05960
LOC_Os01g69830	LOC_Os09g10201
LOC_Os01g69830	LOC_Os05g42250
LOC_Os01g69830	LOC_Os04g49160
LOC_Os01g69830	LOC_Os11g02660
LOC_Os01g69830	LOC_Os07g38840
LOC_Os01g69910	LOC_Os05g03870
LOC_Os01g69910	LOC_Os03g59380
LOC_Os01g69910	LOC_Os05g39610
LOC_Os01g69910	LOC_Os01g67820
LOC_Os01g69910	LOC_Os04g43440
LOC_Os01g69910	LOC_Os05g35170
LOC_Os01g69910	LOC_Os08g38410
LOC_Os01g69910	LOC_Os06g48570
LOC_Os01g69910	LOC_Os11g44680
LOC_Os01g69910	LOC_Os06g43190
LOC_Os01g69910	LOC_Os01g19120
LOC_Os01g69980	LOC_Os03g45779
LOC_Os01g69980	LOC_Os03g07370
LOC_Os01g69980	LOC_Os09g12300
LOC_Os01g69980	LOC_Os07g36180
LOC_Os01g69980	LOC_Os07g36140
LOC_Os01g69980	LOC_Os03g60500
LOC_Os01g69980	LOC_Os04g58340
LOC_Os01g69980	LOC_Os05g50220
LOC_Os01g69980	LOC_Os02g57290
LOC_Os01g69980	LOC_Os11g36440
LOC_Os01g69980	LOC_Os11g26150
LOC_Os01g69980	LOC_Os03g63554
LOC_Os01g69980	LOC_Os08g44290
LOC_Os01g69980	LOC_Os01g72380
LOC_Os01g69980	LOC_Os03g59080
